IGRALEC;EKIPA;POZICIJA;STAROST;VISINA;TEZA;DRZAVA;GP;MPG;PPG;APG;RPG;SPG;FT;2;3;;
Aaron Brooks;Ind;PG;32;6-0;161;USA;65;13.7;5;1.9;1.1;0.38;0.8;0.424;0.375;;
Aaron Gordon;Orl;SF;21;6-9;220;USA;80;28.7;12.7;1.9;5.1;0.81;0.719;0.528;0.288;;
Adreian Payne;Min;PF;25;6-10;237;USA;18;7.5;3.5;0.4;1.8;0.44;0.737;0.513;0.2;;
AJ Hammons;Dal;C;24;7-0;260;USA;22;7.4;2.2;0.2;1.7;0.05;0.45;0.375;0.5;;
Al Horford;Bos;C;30;6-10;245;Dominican Rep...;68;32.3;14;5;6.8;0.76;0.8;0.524;0.355;;
Al Jefferson;Ind;C;32;6-10;289;USA;66;14.1;8.1;0.9;4.2;0.29;0.765;0.5;0;;
Alan Anderson;Lac;SF;34;6-6;220;USA;30;10.3;2.9;0.4;0.8;0.1;0.75;0.444;0.318;;
Alan Williams;Pho;PF;24;6-8;260;USA;47;15.1;7.4;0.5;6.2;0.57;0.625;0.519;0;;
Alec Burks;Uta;SG;25;6-6;214;USA;42;15.6;6.7;0.7;2.9;0.43;0.769;0.43;0.329;;
Alex Abrines;Okc;SG;23;6-6;190;Spain;68;15.5;6;0.6;1.3;0.54;0.898;0.426;0.381;;
Alex Len;Pho;C;23;7-1;260;Ukraine;77;20.3;8;0.6;6.6;0.49;0.721;0.503;0.25;;
Alex Poythress;Phi;SF;23;6-7;238;USA;6;26.1;10.7;0.8;4.7;0.5;0.8;0.543;0.316;;
Alexis Ajinca;Nor;C;28;7-2;248;France;39;15;5.3;0.3;4.5;0.51;0.725;0.511;0;;
Al-Farouq Aminu;Por;SF;26;6-9;220;USA;61;29.1;8.7;1.6;7.4;1;0.706;0.445;0.329;;
Allen Crabbe;Por;SG;24;6-6;215;USA;79;28.5;10.7;1.2;2.8;0.68;0.847;0.49;0.444;;
Alonzo Gee;Den;SF;29;6-6;225;USA;13;6.9;0.8;0.5;1.2;0.38;0.556;0.273;0;;
Amir Johnson;Bos;PF;29;6-9;240;USA;80;20.1;6.5;1.8;4.6;0.64;0.67;0.612;0.409;;
Anderson Varejao;Gol;C;34;6-11;273;Brazil;14;6.6;1.3;0.7;1.9;0.21;0.727;0.357;0;;
Andre Drummond;Det;C;23;6-11;279;USA;81;29.7;13.6;1.1;13.8;1.53;0.386;0.532;0.286;;
Andre Iguodala;Gol;SF;33;6-6;215;USA;76;26.3;7.6;3.4;4;1;0.706;0.651;0.362;;
Andre Roberson;Okc;SF;25;6-7;210;USA;79;30.1;6.6;1;5.1;1.2;0.423;0.609;0.245;;
Andrew Bogut;Dal;C;32;7-0;260;Australia;26;22.4;3;1.9;8.4;0.5;0.273;0.475;0;;
